Section,Part,Type,Arabic,English
Unit 3 Section 1,Nouns (أسماء),vocab,عِشْرُوْن,twenty
Unit 3 Section 1,Nouns (أسماء),vocab,أَرْبَع / أَرْبَعَة,four
Unit 3 Section 1,Nouns (أسماء),vocab,ثَّلَثُوْن,thirty
Unit 3 Section 1,Nouns (أسماء),vocab,خَمْس / خَمْسَة,five
Unit 3 Section 1,Nouns (أسماء),vocab,أَرْبَعُوْن,forty
Unit 3 Section 1,Nouns (أسماء),vocab,سِت / سِتَّة,six
Unit 3 Section 1,Nouns (أسماء),vocab,خَمْسُوْن,fifty
Unit 3 Section 1,Nouns (أسماء),vocab,سَبْع / سَبْعَة,seven
Unit 3 Section 1,Nouns (أسماء),vocab,سِتُّوْن,sixty
Unit 3 Section 1,Nouns (أسماء),vocab,ثَمَان / ثَمَانِیَة,eight
Unit 3 Section 1,Nouns (أسماء),vocab,سَبْعُوْن,seventy
Unit 3 Section 1,Nouns (أسماء),vocab,تِسْع / تِسْعَة,nine
Unit 3 Section 1,Nouns (أسماء),vocab,ثَمَانُوْن,eighty
Unit 3 Section 1,Nouns (أسماء),vocab,عْشَر /عَش رَة,ten
Unit 3 Section 1,Nouns (أسماء),vocab,تِسْعُوْن,ninety
Unit 3 Section 1,Nouns (أسماء),vocab,أَحَدَعَشَرَ / إِحْدَیَعَشْرَة,eleven
Unit 3 Section 1,Nouns (أسماء),vocab,مِائَة ج مِئَات,hundred
Unit 3 Section 1,Nouns (أسماء),vocab,اِثْنَاعَشَرَ / اِثْنَتَاَعَشْرَة,twelve
Unit 3 Section 1,Nouns (أسماء),vocab,أَلْف ج آْلَف ، أُلُوْف,thousand
Unit 3 Section 1,Nouns (أسماء),vocab,ثَّلَثَعَشْرَةَ/ ثَّلَثَةَعَشَر,thirteen
Unit 3 Section 1,Nouns (أسماء),vocab,نَحْو,approximately
Unit 3 Section 1,Nouns (أسماء),vocab,أَرْبَعَعَشْرَةَ/ أَرْبَعَةَعَشَر,fourteen
Unit 3 Section 1,Nouns (أسماء),vocab,خَمْسَعَشْرَةَ/ خَمْسَةَعَشَر,fifteen
Unit 3 Section 1,Nouns (أسماء),vocab,سِتَعَشْرَةَ/ سِتَّةَعَشَر,sixteen
Unit 3 Section 1,Nouns (أسماء),vocab,جَزَاء,"recompense, reward"
Unit 3 Section 1,Nouns (أسماء),vocab,ابْن ج أَبْنَاء ، وْن,son
Unit 3 Section 1,Nouns (أسماء),vocab,جَمِیْل,beautiful
Unit 3 Section 1,Nouns (أسماء),vocab,أَبْیَضُ (بَیْضَاءُ) ج بِیْض,white
Unit 3 Section 1,Nouns (أسماء),vocab,جَنَاح ج أَجْنِحَة,wing
Unit 3 Section 1,Nouns (أسماء),vocab,أَحْمَر (حَمْرَاءُ) ج حُمْر,red
Unit 3 Section 1,Nouns (أسماء),vocab,جُنَیْه ج ات,pound (£)
Unit 3 Section 1,Nouns (أسماء),vocab,آخِرُ ج وْنَ ، أَوَاخِر,"last, ending"
Unit 3 Section 1,Nouns (أسماء),vocab,جَوَاب ج أَجْوِبَة,answer
Unit 3 Section 1,Nouns (أسماء),vocab,أَخْضَر (خَضْرَاءُ) ج خُضْر,green
Unit 3 Section 1,Nouns (أسماء),vocab,حَاجَة ج ات,need
Unit 3 Section 1,Nouns (أسماء),vocab,أَخِیْر,last
Unit 3 Section 1,Nouns (أسماء),vocab,حار,hot
Unit 3 Section 1,Nouns (أسماء),vocab,أَذَان,call to prayer
Unit 3 Section 1,Nouns (أسماء),vocab,حَدِيْقَة ج حَدَائِق,garden
Unit 3 Section 1,Nouns (أسماء),vocab,حَسَن,"beautiful, good, nice, pleasant"
Unit 3 Section 1,Nouns (أسماء),vocab,أُسْتَاذ ج أَسَاتِذَة,"teacher, professor"
Unit 3 Section 1,Nouns (أسماء),vocab,حَكِیْم,All-Wise
Unit 3 Section 1,Nouns (أسماء),vocab,أَسَد ج أُسْد ، أُسُد,lion
Unit 3 Section 1,Nouns (أسماء),vocab,حَلِیْم,Forbearing
Unit 3 Section 1,Nouns (أسماء),vocab,أَسْوَدُ ج سُوْد,black
Unit 3 Section 1,Nouns (أسماء),vocab,حَم ج َأَحْم اء,brother-in-law
Unit 3 Section 1,Nouns (أسماء),vocab,أَصْفَرُ (صَفْرَاءُ) ج صُفْر,yellow
Unit 3 Section 1,Nouns (أسماء),vocab,حِمَار ج حَمِیْر ، حُمُر,donkey
Unit 3 Section 1,Nouns (أسماء),vocab,أَمِیْر ج أُمَرَاء,leader
Unit 3 Section 1,Nouns (أسماء),vocab,حَي ج أَحْیَاء,living
Unit 3 Section 1,Nouns (أسماء),vocab,أَمِیْن,trustworthy
Unit 3 Section 1,Nouns (أسماء),vocab,خَالِص,pure
Unit 3 Section 1,Nouns (أسماء),vocab,أَهْل ج وْن,"family, people (of)"
Unit 3 Section 1,Nouns (أسماء),vocab,خُبْز ج أَخْبَاز,bread
Unit 3 Section 1,Nouns (أسماء),vocab,أَوَّل ج وْنَ ، أَوَائِل,"first, beginning"
Unit 3 Section 1,Nouns (أسماء),vocab,خَبِیْر,All-Aware
Unit 3 Section 1,Nouns (أسماء),vocab,بَحْر ج بِحَار ، أَبْحُر,ocean
Unit 3 Section 1,Nouns (أسماء),vocab,خَفِیْف ج خِفَاف,light
Unit 3 Section 1,Nouns (أسماء),vocab,بَخِیْل ج بُخََّلَء,stingy
Unit 3 Section 1,Nouns (أسماء),vocab,خَمْر,alcohol
Unit 3 Section 1,Nouns (أسماء),vocab,بَقَرَة ج بَقَرَات,cow
Unit 3 Section 1,Nouns (أسماء),vocab,( دَار ج دِيَار ، دُوْرمث ),"house, (land)"
Unit 3 Section 1,Nouns (أسماء),vocab,بَلَد جَبَِّلَد,city
Unit 3 Section 1,Nouns (أسماء),vocab,دَاع ج دُعَاة ، وْن,caller
Unit 3 Section 1,Nouns (أسماء),vocab,ثَقِیْل ج ثِقَال,heavy
Unit 3 Section 1,Nouns (أسماء),vocab,عَام ج أَعْوَام,year
Unit 3 Section 1,Nouns (أسماء),vocab,دُكَّان ج دَكَاكِیْن,shop
Unit 3 Section 1,Nouns (أسماء),vocab,عَذْب,palatable
Unit 3 Section 1,Nouns (أسماء),vocab,دِيْنَار ج دَنَانِیْر,dinar
Unit 3 Section 1,Nouns (أسماء),vocab,عَرْش ج عُرُوْش,throne
Unit 3 Section 1,Nouns (أسماء),vocab,ذُبَاب ج ذِبَّان,fly
Unit 3 Section 1,Nouns (أسماء),vocab,عَظِیْم,great
Unit 3 Section 1,Nouns (أسماء),vocab,رَءُوْف,Most Kind
Unit 3 Section 1,Nouns (أسماء),vocab,عَمَل ج أَعْمَال,"deed, action"
Unit 3 Section 1,Nouns (أسماء),vocab,رُمَّانَة ج ات,pomegranate
Unit 3 Section 1,Nouns (أسماء),vocab,غُرْفَة ج غُرَف,room
Unit 3 Section 1,Nouns (أسماء),vocab,زَوْج ج أَزْوَاج,spouse
Unit 3 Section 1,Nouns (أسماء),vocab,فَرَس ج أَفْرَاس,horse
Unit 3 Section 1,Nouns (أسماء),vocab,سَفِیْنَة ج سُفُن,ship
Unit 3 Section 1,Nouns (أسماء),vocab,فَضْل,"grace, virtue"
Unit 3 Section 1,Nouns (أسماء),vocab,سِكِّیْن ج سَكَاكِیْن,knife
Unit 3 Section 1,Nouns (أسماء),vocab,فَّلَّح ج وْن,farmer
Unit 3 Section 1,Nouns (أسماء),vocab,سَیْف ج سُیُوْف,sword
Unit 3 Section 1,Nouns (أسماء),vocab,فَم ج أَفْوَاه,mouth
Unit 3 Section 1,Nouns (أسماء),vocab,شَاب ج شُبَّان ، شَبَاب,young man
Unit 3 Section 1,Nouns (أسماء),vocab,فِیْل ج فِیَلَة ، أَفْیَال,elephant
Unit 3 Section 1,Nouns (أسماء),vocab,شَاة ج شِیَاه ، شَاء,sheep
Unit 3 Section 1,Nouns (أسماء),vocab,قَاض ج قُضَاة ، وْن,judge
Unit 3 Section 1,Nouns (أسماء),vocab,شَاكِر,Appreciative
Unit 3 Section 1,Nouns (أسماء),vocab,قَبِیْح,"ugly, unsightly"
Unit 3 Section 1,Nouns (أسماء),vocab,شَجَرَة ج أَشْجَار,tree
Unit 3 Section 1,Nouns (أسماء),vocab,قَدْر,power
Unit 3 Section 1,Nouns (أسماء),vocab,شَرَف,"nobility, high rank"
Unit 3 Section 1,Nouns (أسماء),vocab,قَرْيَة ج قُرًی,village
Unit 3 Section 1,Nouns (أسماء),vocab,شَهِیْد ج شُهَدَاء,"witness, martyr"
Unit 3 Section 1,Nouns (أسماء),vocab,قَطْرَة ج ات,drop
Unit 3 Section 1,Nouns (أسماء),vocab,شَیْخ ج شُیُوْخ,"shaykh, old man"
Unit 3 Section 1,Nouns (أسماء),vocab,قَلِیْل,"few, a little"
Unit 3 Section 1,Nouns (أسماء),vocab,صَحَابِي ج صَحَابَة,companion
Unit 3 Section 1,Nouns (أسماء),vocab,قُوَّة ج ات,strength
Unit 3 Section 1,Nouns (أسماء),vocab,صَفْحَة ج ات,page
Unit 3 Section 1,Nouns (أسماء),vocab,قَوِي,All-Powerful
Unit 3 Section 1,Nouns (أسماء),vocab,صََّلَة ج صَلَوَات,prayer
Unit 3 Section 1,Nouns (أسماء),vocab,قِیَامَة,resurrection
Unit 3 Section 1,Nouns (أسماء),vocab,)طَیِّب (ة) ج وْنَ (ات,pure
Unit 3 Section 1,Nouns (أسماء),vocab,كَبْش,ram
Unit 3 Section 1,Nouns (أسماء),vocab,طَیْر ج طُیُوْر,bird
Unit 3 Section 1,Nouns (أسماء),vocab,كَثِیْر,"many, a lot, an abundance"
Unit 3 Section 1,Nouns (أسماء),vocab,عَافِیَة,well-being
Unit 3 Section 1,Nouns (أسماء),vocab,نَجِس,impure
Unit 3 Section 1,Nouns (أسماء),vocab,كَلْب ج كَِّلَب,dog
Unit 3 Section 1,Nouns (أسماء),vocab,نَهْر ج أَنْهَار,river
Unit 3 Section 1,Nouns (أسماء),vocab,الْكَوْثَر,name of a river in paradise
Unit 3 Section 1,Nouns (أسماء),vocab,هَاد ج هُدَاة ، وْن,guide
Unit 3 Section 1,Nouns (أسماء),vocab,لَطِیْف,All-Subtle
Unit 3 Section 1,Nouns (أسماء),vocab,وَاجِب,compulsory
Unit 3 Section 1,Nouns (أسماء),vocab,مُحْسِن ج وْن,those who do good
Unit 3 Section 1,Nouns (أسماء),vocab,وَاد ج وُدْيَان ، أَوْدِيَة,valley
Unit 3 Section 1,Nouns (أسماء),vocab,مَدِيْنَة ج مُدُن,city
Unit 3 Section 1,Nouns (أسماء),vocab,وَاسِع,All-Encompassing
Unit 3 Section 1,Nouns (أسماء),vocab,مُسْتَقِیْم,straight
Unit 3 Section 1,Nouns (أسماء),vocab,وَجْه ج وُجُوْه,face
Unit 3 Section 1,Nouns (أسماء),vocab,مِسْكِیْن ج مَسَاكِیْن,poor
Unit 3 Section 1,Nouns (أسماء),vocab,وَسِخ,dirty
Unit 3 Section 1,Nouns (أسماء),vocab,مَقْبُوْل,accepted
Unit 3 Section 1,Nouns (أسماء),vocab,وَقْت ج أَوْقَات,time
Unit 3 Section 1,Nouns (أسماء),vocab,مُهْتَد ج وْن,guided
Unit 3 Section 1,Nouns (أسماء),vocab,يَتِیْم ج يَتَامٰی,orphan
Unit 3 Section 1,Nouns (أسماء),vocab,مَیِّت ج أَمْوَات,dead
Unit 3 Section 1,Verbs (أفعال),vocab,صَاحَيَصِیْحُصَیْحَة,to scream
Unit 3 Section 1,Verbs (أفعال),vocab,أَذَّنَيُؤَذِّنُتَأْذِيْنًا,to call (to prayers)
Unit 3 Section 1,Verbs (أفعال),vocab,صَحَّيَصِحُّصِحَّة,"to be healthy, correct"
Unit 3 Section 1,Verbs (أفعال),vocab,أَسْرَفَيُسْرِفُإِسْرَافًا,"to exceed bounds, be extravagant"
Unit 3 Section 1,Verbs (أفعال),vocab,أَشْرَكَيُشْرِكُإشْرَاكًا,to ascribe partners
Unit 3 Section 1,Verbs (أفعال),vocab,أَغْنَیيُغْنِيْإِغْنَاء,"to avail, be of use"
Unit 3 Section 1,Verbs (أفعال),vocab,طَلَبَيَطْلُبُطَلَبًا,to seek
Unit 3 Section 1,Verbs (أفعال),vocab,أَنْبَتَيُنْبِتُإِنْبَاتًا,to make grow
Unit 3 Section 1,Verbs (أفعال),vocab,عَذَّبَيُعَذِّبُتَعْذِيْبًا,to punish
Unit 3 Section 1,Verbs (أفعال),vocab,أَهْلَكَيُهْلِكُإِهَّْلَكًا,to destroy
Unit 3 Section 1,Verbs (أفعال),vocab,فَازَيَفُوْزُفَوْز,to be successful
Unit 3 Section 1,Verbs (أفعال),vocab,بَقِيَيَبْقَیًبَقَاء,to remain
Unit 3 Section 1,Verbs (أفعال),vocab,فَرَضَيَفْرِضُفَرْضًا,to make compulsory
Unit 3 Section 1,Verbs (أفعال),vocab,قَبِلَيَقْبَلًقبُوْْلًقَبُوْْل,to accept
Unit 3 Section 1,Verbs (أفعال),vocab,بَنَیيَبْنِيْبِنَاء,"to build, construct"
Unit 3 Section 1,Verbs (أفعال),vocab,تَوَضَّأَيَتَوَضَّأُتَوَضُّأ,to perform ablution
Unit 3 Section 1,Verbs (أفعال),vocab,لَبِثَيَلْبَثلَبْثًاولُبْثًا,"to remain, stay, spend (time)"
Unit 3 Section 1,Verbs (أفعال),vocab,مَضَیيَمْضِيمُضِیًّا,"to past, spend"
Unit 3 Section 1,Verbs (أفعال),vocab,حَاسَبيُحَاسِبُحِسَابًا,to account
Unit 3 Section 1,Verbs (أفعال),vocab,نَافَقَيُنَافِقُمُنَافَقَةًنِفَاقًا,to act hypocritically
Unit 3 Section 1,Verbs (أفعال),vocab,حَ ج يَحُجُّحَجًّا,to perform hajj
Unit 3 Section 1,Verbs (أفعال),vocab,نَزَلَيَنْزِلُنُزُوْْل,"to descend, come down,"
Unit 3 Section 1,Verbs (أفعال),vocab,حَصَلَيَحْصُلُحُصُوْْل,to acquire
Unit 3 Section 1,Verbs (أفعال),vocab,وَجَدَيَجِدوِجْدَانًا ، وُجُوْدًا,to find
Unit 3 Section 1,Verbs (أفعال),vocab,ذَاقَيَذُوْقُذَوْقًا,to taste
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,غَیْرُ صَرِيْح,Indirect slot
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,ظَرْف ج ظُرُوْف,Noun Preposition
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,حَرْفُ صِلَة,Particle of emphasis
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,خَِّلَل,"during, in between"
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,خْلَف,behind
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,أَمَام,in front of
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,بَعْد,after
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,فْوَق,above
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,بَیْن,"between, amongst"
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,قَبْل,"before, ago"
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,تْحَت,under
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,مَع,with
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,حَول,around
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,عَن,"regarding, from"
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,ك,like
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,مِن,from
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,ب,with
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,ثَم,there
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,هٰهُنَا,here
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,هُنَاك,there
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,طِیْن,clay
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,بَصَر ج أَبْصَار,sight
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,ظَهْر ج ظُهُوْر ، أَظْهُر,back
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,بِئْر ج آبَار (مث),well
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,عَاقِل ج عُقَّلَء,intelligent
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,تُرَاب ج أَتْرِبَة,soil
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,عِنَب ج أَعْنَاب,grapes
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,ثَوْب ج ثِیَاب,cloth
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,عَهْد,"acquaintance, pledge, era"
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,حَرام,"sacred, impermissible"
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,فَاكِهَة ج فَوَاكِه,fruit
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,خِنْزِير,"swine, pig"
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,فَصْل ج فُصُوْل,classroom
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,دَم ج دِمَاء,blood
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,قَاعِدَة ج قَوَاعِد,"foundation, rule"
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,دَمْع ج دُمُوْع,teardrop
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,قَبْر ج قُبُوْر,grave
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,رَيْب,doubt
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,قِرْن ج أَقْرَان,"peer, fellow"
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,زَمَن ، زَمَان,"time, period"
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,قَرِيْب ج أَقَارِب,close relative
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,زَيْتُوْن,olive
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,كَأْس ج كُؤُوْس (مث),cup
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,سُوْق ج أَسْوَاق (مث),market
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,كُوْب ج أَكْوَاب,cup
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,شُجَاع ج شَجَعَة ، شُجْعَان,brave
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,مِحْرَاب ج مَحَارِيْب,prayer niche
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,شَرِيْف ج شُرَفَاء,noble
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,مُصْحَف ج مَصَاحِف,Quran (written copy)
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,شَرِيْك ج ُشُرَكَاء,partner
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,مُكَرَّمَة,"honoured, revered"
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,صَاحِب ج أَصْحَاب,"people (of), companion"
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,مِنْبَر ج مَنَابِر,pulpit
Unit 3 Section 2,Prepositional Phrases (شبه الجملة),grammar,صَبِي ج صِبْیَة ، صِبْیَان,child
Unit 4 Section 1,Personal Pronouns,grammar,اْلَْمْرُلِلْغَائِب,Third-person imperative
Unit 4 Section 1,Personal Pronouns,grammar,مُتَكَلِّم,First person
Unit 4 Section 1,Personal Pronouns,grammar,النَّهْي,Negative imperative
Unit 4 Section 1,Personal Pronouns,grammar,مُخَاطَب,Second person
Unit 4 Section 1,Personal Pronouns,grammar,imperative ( َلْ) حَرْفُنَهْي,Particle for negative
Unit 4 Section 1,Personal Pronouns,grammar,غَائِب,Third person
Unit 4 Section 1,Personal Pronouns,grammar,ضَمِیْر مُسْتَتِر,Hidden pronoun
Unit 4 Section 1,Personal Pronouns,grammar,ضَمِیْربَارِز,Visible pronoun
Unit 4 Section 1,Personal Pronouns,grammar,a نُوْن for the feminine ِنُوْنُالنِّسْوَةِ/نُوْنُالضَّمِیْر,pronoun
Unit 4 Section 1,Personal Pronouns,grammar,ضَمِیْر مُتَّصِل,Attached
Unit 4 Section 1,Personal Pronouns,grammar,between خَبَر and نَعْت) ِضَمِیْرُالْفَصْل,(Pronoun to differentiate
Unit 4 Section 1,Personal Pronouns,grammar,ضَمِیْر مُنْفَصِل,Detached
Unit 4 Section 1,Personal Pronouns,grammar,نَفْس,Reflexive pronouns
Unit 4 Section 1,Nouns (أسماء),vocab,رَاشِد ج وْن,guided
Unit 4 Section 1,Nouns (أسماء),vocab,أَلِیْم,painful
Unit 4 Section 1,Nouns (أسماء),vocab,رَجِیْم,rejected
Unit 4 Section 1,Nouns (أسماء),vocab,ج حِیْم,Fire of Hell
Unit 4 Section 1,Nouns (أسماء),vocab,سَوَاء,equal
Unit 4 Section 1,Nouns (أسماء),vocab,حَرِيْر,silk
Unit 4 Section 1,Nouns (أسماء),vocab,فِضَّة,silver
Unit 4 Section 1,Nouns (أسماء),vocab,خَیْر,good
Unit 4 Section 1,Verbs (أفعال),vocab,مُبِیْن,clear
Unit 4 Section 1,Verbs (أفعال),vocab,ذَائِقَة,taste
Unit 4 Section 1,Verbs (أفعال),vocab,آثَريُؤْثِرُإِيْثَارًا,to give preference
Unit 4 Section 1,Verbs (أفعال),vocab,فَتَنَيَفْتِنُفُتُوْنًا,"to test, trial"
Unit 4 Section 1,Verbs (أفعال),vocab,اِسْتَعَانًيَسْتَعِیْنُاِسْتِعَانَة,to seek help
Unit 4 Section 1,Verbs (أفعال),vocab,كَلَّمَيُكَلِّمتَكْلِیْمًا ، كَّلَمًا,to speak
Unit 4 Section 1,Verbs (أفعال),vocab,اِغْتَابَيَغْتَابُاغْتِیَابًا,to backbite
Unit 4 Section 1,Verbs (أفعال),vocab,لَعِبَيَلْعَبُلَعْبًا,to play
Unit 4 Section 1,Verbs (أفعال),vocab,أَقَامَيُقِیْمُإِقَامَة,"to establish, stay, reside"
Unit 4 Section 1,Verbs (أفعال),vocab,خَدَعَيَخْدَعُخَدْعًا,to deceive
Unit 4 Section 1,Verbs (أفعال),vocab,نَفَعَيَنْفَعُنَفْعًا,to benefit
Unit 4 Section 1,Verbs (أفعال),vocab,دَخَلَيَدْخُلُدُخُوْْل,to enter
Unit 4 Section 1,Verbs (أفعال),vocab,وَصَلَيَصِلُوُصُوْْل,to reach
Unit 4 Section 1,Verbs (أفعال),vocab,شَفَعَيَشْفَعُشَفَاعَة,to intercede
Unit 4 Section 2,Part 2: Emphatic Phrases,grammar,تَأْكِیْد لَفْظِي,Emphasis (with repeated word)
Unit 4 Section 2,Part 1: Interrogative Pronouns,grammar,أَدَاةُاْلسْتِفْهَام,Interrogative Pronoun
Unit 4 Section 2,Part 2: Emphatic Phrases,grammar,تَأْكِیْد مَعْنَوِي,Emphasis (with specific word)
Unit 4 Section 2,Part 1: Interrogative Pronouns,grammar,حَرْفُاْلسْتِفْهَام,Particle Interrogative
Unit 4 Section 2,Part 1: Interrogative Pronouns,grammar,اِسْمِاْلسْتِفْهَام,Noun Interrogative
Unit 4 Section 2,Part 1: Interrogative Pronouns,grammar,أَحْرُفُالْجَوَاب,Particles for affirmation/negation
Unit 4 Section 2,Part 2: Emphatic Phrases,grammar,كَیْف,how
Unit 4 Section 2,Part 2: Emphatic Phrases,grammar,مَن,who
Unit 4 Section 2,Part 2: Emphatic Phrases,grammar,كَم,how many
Unit 4 Section 2,Part 2: Emphatic Phrases,grammar,أَي,which
Unit 4 Section 2,Part 2: Emphatic Phrases,grammar,لِم,why
Unit 4 Section 2,Part 2: Emphatic Phrases,grammar,أَيْن,where
Unit 4 Section 2,Part 2: Emphatic Phrases,grammar,لِمَن,who does it belong to
Unit 4 Section 2,Part 2: Emphatic Phrases,grammar,بَقِّیَّة,"remainder, rest"
Unit 4 Section 2,Nouns (أسماء),vocab,عِزَّة,honour
Unit 4 Section 2,Nouns (أسماء),vocab,أَلًی ج آْلَء,"gift, bounty"
Unit 4 Section 2,Nouns (أسماء),vocab,عَشَاء ج أَعْشِیَة,dinner
Unit 4 Section 2,Nouns (أسماء),vocab,حَبْل ج حِبَال,rope
Unit 4 Section 2,Nouns (أسماء),vocab,عَقْل ج عُقُوْل,intellect
Unit 4 Section 2,Nouns (أسماء),vocab,حَدِيْث ج أَحَادِيْث,"discourse, Prophetic narration"
Unit 4 Section 2,Nouns (أسماء),vocab,غَدَاء ج أَغْدِيَة,"breakfast, lunch"
Unit 4 Section 2,Nouns (أسماء),vocab,سََّلَم,peace
Unit 4 Section 2,Nouns (أسماء),vocab,مُرْسَل ج وْن,messenger
Unit 4 Section 2,Nouns (أسماء),vocab,سَیِّد,leader
Unit 4 Section 2,Nouns (أسماء),vocab,وَقْت ج أَوْقَات,time
Unit 4 Section 2,Nouns (أسماء),vocab,شِمَال,left
Unit 4 Section 2,Verbs (أفعال),vocab,يَمِیْن ج أَيْمَان,right
Unit 4 Section 2,Verbs (أفعال),vocab,شَوْط ج أَشْوَاط,"round, course"
Unit 4 Section 2,Verbs (أفعال),vocab,صَرَّفَيُصَرِّفُتَصْرِيْفًا,to change
Unit 4 Section 2,Verbs (أفعال),vocab,اِشْتَكَیيَشْتَكِيْاِشْتِكَاء,to complain
Unit 4 Section 2,Verbs (أفعال),vocab,ضَیَّعَيُضَیِّعُتَضْیِیْعًا,to waste
Unit 4 Section 2,Verbs (أفعال),vocab,اِعْتَصَمَيَعْتَصِمُاِعْتِصَامًا,to adhere to
Unit 4 Section 2,Verbs (أفعال),vocab,طَلَعَيَطْلعُطُلُوْعًا,to rise
Unit 4 Section 2,Verbs (أفعال),vocab,أَغْرَقَيُغْرِقُإِغْرَاقًا,to drown
Unit 4 Section 2,Verbs (أفعال),vocab,غَرَبَيَغْرُبُغُرُوْبًا,to set
Unit 4 Section 2,Verbs (أفعال),vocab,بَدَأَيَبْدَأُبَدْأ,"to initiate, start"
Unit 5 Section 1,Subsentences (جملة صغری),grammar,عَائِد Pronoun within the صُغْری that,refers to something before it
Unit 5 Section 1,Subsentences (جملة صغری),grammar,ضَمِیْرُالشَّأْن,Anticipatory Pronoun
Unit 5 Section 1,Subsentences (جملة صغری),grammar,ضَمِیْرُالْقِصَّة,Anticipatory Pronoun
Unit 5 Section 1,Subsentences (جملة صغری),grammar,نَادَیيُنَادِيْمُنَادَاة,to call out
Unit 5 Section 1,Subsentences (جملة صغری),grammar,أَوْحَیيُوْحِيْإِيْحَاء,"to inspire, reveal"
Unit 5 Section 1,Subsentences (جملة صغری),grammar,سِجْن ج سُجُوْن,jail
Unit 5 Section 1,Subsentences (جملة صغری),grammar,إِصْبَع ج أَصَابِع (مث),finger
Unit 5 Section 1,Subsentences (جملة صغری),grammar,ضَال ج وْن,misguided
Unit 5 Section 1,Subsentences (جملة صغری),grammar,امْتِحَان ج ات,exam
Unit 5 Section 1,Subsentences (جملة صغری),grammar,طَبِیْب ج أَطِبَّاء,doctor
Unit 5 Section 1,Subsentences (جملة صغری),grammar,أَهْل,people
Unit 5 Section 1,Subsentences (جملة صغری),grammar,عِشَاء,evening
Unit 5 Section 1,Subsentences (جملة صغری),grammar,بَطْن ج بُطُوْن,stomach
Unit 5 Section 1,Subsentences (جملة صغری),grammar,مِل ة ج مِلَل,"religion, creed"
Unit 5 Section 1,Subsentences (جملة صغری),grammar,جَسَد ج أَجْسَاد,body
Unit 5 Section 1,Subsentences (جملة صغری),grammar,هَِّلَل ج أَهِلَّة,crescent
